Crop,Pest_Disease_Name,Type,Severity,Symptoms,Control_Measures,Optimal_Conditions
rice,Brown Plant Hopper,Pest,High,Yellowing of leaves; stunted growth; honeydew secretion leading to sooty mold,Use resistant varieties; maintain field hygiene; biological control with natural predators; avoid excessive nitrogen,High humidity (>80%); temperatures 25-30°C
rice,Rice Blast,Disease,High,Diamond-shaped lesions on leaves; neck rot; panicle damage,Use disease-resistant varieties; balanced fertilization; fungicide application when necessary; proper spacing,High humidity; temperatures 20-30°C; prolonged leaf wetness
rice,Bacterial Leaf Blight,Disease,High,Yellow to white lesions along leaf margins; wilting; drying of leaves,Use resistant varieties; balanced fertilization; avoid excess nitrogen; proper water management,High temperature (25-34°C); high humidity
rice,Stem Borer,Pest,Medium,Dead hearts in vegetative stage; white heads in reproductive stage,Early planting; synchronized planting; removal of stubbles; biological control,Moderate to high humidity; temperatures 20-30°C
maize,Fall Armyworm,Pest,High,Ragged leaf feeding; damage to whorl and ear; frass present,Timely planting; natural enemies; targeted insecticide application; transgenic varieties,Warm temperatures (20-30°C); moderate humidity
maize,Common Rust,Disease,Medium,Small brown pustules on leaves; reduced photosynthesis,Plant resistant hybrids; fungicide application; crop rotation,Cool temperatures (16-25°C); high humidity
maize,Northern Leaf Blight,Disease,High,Long elliptical gray-green lesions; leaf necrosis,Resistant hybrids; fungicide application; crop rotation; residue management,Moderate temperatures (18-27°C); extended leaf wetness
chickpea,Pod Borer,Pest,High,Holes in pods; damaged seeds; webbing on pods,Pheromone traps; biological control; need-based insecticide use,Warm and dry conditions
chickpea,Fusarium Wilt,Disease,High,Yellowing and wilting of plants; brown discoloration of roots,Use resistant varieties; seed treatment; crop rotation; soil solarization,Soil temperatures 20-25°C; moisture stress
wheat,Wheat Rust,Disease,High,Orange-brown pustules on leaves and stems; reduced grain filling,Resistant varieties; fungicide application; early sowing,Cool humid conditions; temperatures 15-22°C
wheat,Aphids,Pest,Medium,Yellowing leaves; stunted growth; honeydew secretion,Natural enemies; need-based insecticide use; avoid excess nitrogen,Cool temperatures (15-25°C); moderate humidity
potato,Late Blight,Disease,High,Dark brown water-soaked lesions; white fungal growth,Resistant varieties; fungicide application; proper spacing; field sanitation,Cool temperatures (10-20°C); high humidity
potato,Colorado Potato Beetle,Pest,High,Defoliation; reduced tuber size; complete plant destruction,Crop rotation; biological control; insecticide resistance management,Warm temperatures (20-25°C); dry conditions
tomato,Tomato Leaf Miner,Pest,High,Leaf mining; fruit boring; blistering of leaves,Pheromone traps; biological control; protected cultivation,Warm temperatures (20-30°C); moderate humidity
tomato,Early Blight,Disease,Medium,Dark brown lesions with concentric rings; leaf yellowing,Resistant varieties; fungicide application; proper spacing,Warm temperatures (24-29°C); high humidity
